dice:0.04973221124461335, jaccard:0.03735664521345358, accuracy:0.9871720591138244, hd95:nan, asd:nan
dice:0.13137793678125465, jaccard:0.10305112135895972, accuracy:0.9946819338784626, hd95:nan, asd:nan
dice:0.1343005410567907, jaccard:0.112098967265224, accuracy:0.9956063782469834, hd95:nan, asd:nan
dice:0.12935994699800854, jaccard:0.10379386556472876, accuracy:0.9957262341320456, hd95:nan, asd:nan
dice:0.12863035936379683, jaccard:0.10528143632563318, accuracy:0.9957389670898121, hd95:nan, asd:nan
dice:0.14464940026305895, jaccard:0.12146435153470148, accuracy:0.996095568993966, hd95:nan, asd:nan
dice:0.15980905181555732, jaccard:0.134523188002704, accuracy:0.9961697523131278, hd95:nan, asd:nan
dice:0.1423749935919165, jaccard:0.12101267470990629, accuracy:0.9964496401239068, hd95:nan, asd:nan
dice:0.1676054318853575, jaccard:0.1432888667556473, accuracy:0.9963864103118926, hd95:nan, asd:nan
dice:0.13545245949046206, jaccard:0.1130427367304489, accuracy:0.9966110560667715, hd95:nan, asd:nan
dice:0.15935829448349006, jaccard:0.13405870051001223, accuracy:0.9966628973948215, hd95:nan, asd:nan
dice:0.15459343211915844, jaccard:0.13160958274983978, accuracy:0.9965578307215742, hd95:nan, asd:nan
dice:0.1668564580001221, jaccard:0.14344610326060034, accuracy:0.9970305714361634, hd95:nan, asd:nan
dice:0.18184988424765006, jaccard:0.1547963780302348, accuracy:0.99681430887087, hd95:nan, asd:nan
dice:0.17517983779096052, jaccard:0.1513054638921063, accuracy:0.9969100433142004, hd95:nan, asd:nan
dice:0.18703690080381344, jaccard:0.16198034280750784, accuracy:0.9971795707680392, hd95:nan, asd:nan
dice:0.18452853434807853, jaccard:0.16144579785747915, accuracy:0.9968673760426792, hd95:nan, asd:nan
