dice:0.0003369358630384506, jaccard:0.00017249635343856014, accuracy:0.9945152191270854, hd95:nan, asd:nan
dice:0.02967115486214488, jaccard:0.021476277668163908, accuracy:0.993653134616942, hd95:nan, asd:nan
dice:0.04491452390221292, jaccard:0.03399668842816721, accuracy:0.9933976450513246, hd95:nan, asd:nan
dice:0.05326205414733408, jaccard:0.03940876606895555, accuracy:0.9936072643343059, hd95:nan, asd:nan
dice:0.07741301191638808, jaccard:0.05969189921488413, accuracy:0.9935983275378608, hd95:nan, asd:nan
dice:0.09820120256190557, jaccard:0.07818553550950956, accuracy:0.9937165226023447, hd95:nan, asd:nan
dice:0.08901238357946506, jaccard:0.07381333447182989, accuracy:0.9940423597824543, hd95:nan, asd:nan
dice:0.09455157760909551, jaccard:0.07755931869074657, accuracy:0.9936194832285596, hd95:nan, asd:nan
dice:0.10641776500365005, jaccard:0.08959234571784598, accuracy:0.9939315197805318, hd95:nan, asd:nan
dice:0.10442714104833735, jaccard:0.08488694566293851, accuracy:0.9936091228716192, hd95:nan, asd:nan
dice:0.11572275555987248, jaccard:0.09686055568064565, accuracy:0.9940001670310981, hd95:nan, asd:nan
dice:0.11897949705377879, jaccard:0.10208060457515661, accuracy:0.9941929408482144, hd95:nan, asd:nan
dice:0.134218560950911, jaccard:0.11498474795043433, accuracy:0.9946403738206596, hd95:nan, asd:nan
dice:0.14798472364586227, jaccard:0.12956052704603166, accuracy:0.9938848190876056, hd95:nan, asd:nan
dice:0.1301911186317375, jaccard:0.1125567038564939, accuracy:0.9947045922163512, hd95:nan, asd:nan
dice:0.1439607540927118, jaccard:0.12394884205207132, accuracy:0.9946136820613668, hd95:nan, asd:nan
dice:0.13694072531042142, jaccard:0.1208876990585413, accuracy:0.9948295887365364, hd95:nan, asd:nan
