dice:0.01698974084727735, jaccard:0.010422077770950198, accuracy:0.9847367029959311, hd95:nan, asd:nan
dice:0.04498705012708133, jaccard:0.026110011345315112, accuracy:0.9825718233722064, hd95:nan, asd:nan
dice:0.06976404876724838, jaccard:0.043018672359242414, accuracy:0.9823709036255877, hd95:nan, asd:nan
dice:0.10251079323593064, jaccard:0.06812506574118712, accuracy:0.9813778120064992, hd95:nan, asd:nan
dice:0.14312702973208083, jaccard:0.09923179404228107, accuracy:0.9820156461952343, hd95:nan, asd:nan
dice:0.145625021753444, jaccard:0.10579001036672202, accuracy:0.9823383989942703, hd95:nan, asd:nan
dice:0.16890355147522224, jaccard:0.12393639683788028, accuracy:0.984153557256236, hd95:nan, asd:nan
dice:0.17467436163529884, jaccard:0.12910692260930198, accuracy:0.9822374843724688, hd95:nan, asd:nan
dice:0.1856168466515923, jaccard:0.1373824446965233, accuracy:0.9844348290841639, hd95:nan, asd:nan
dice:0.21270926480240948, jaccard:0.1597727813353073, accuracy:0.9850622238292641, hd95:nan, asd:nan
dice:0.22425737533333273, jaccard:0.17406043342728916, accuracy:0.9856292754266889, hd95:nan, asd:nan
dice:0.22004609874329462, jaccard:0.169860614363747, accuracy:0.9873679963987085, hd95:nan, asd:nan
dice:0.240287985212608, jaccard:0.18648460043774304, accuracy:0.9861016602511541, hd95:nan, asd:nan
dice:0.23108843179480515, jaccard:0.17952315790468013, accuracy:0.9876095667061465, hd95:nan, asd:nan
dice:0.2285561893624754, jaccard:0.1758597717779443, accuracy:0.9872880792942181, hd95:nan, asd:nan
dice:0.23526864130628386, jaccard:0.18447369139422617, accuracy:0.9891610103862978, hd95:nan, asd:nan
dice:0.23666685423170167, jaccard:0.18696197425276112, accuracy:0.9901254726220846, hd95:nan, asd:nan
