final_loss:0.42957708, total_loss:0.56003135
final_loss:0.38200188, total_loss:0.46467954
final_loss:0.37053055, total_loss:0.4492351
final_loss:0.36780658, total_loss:0.44575033
final_loss:0.35754183, total_loss:0.4346994
final_loss:0.35158598, total_loss:0.42733607
final_loss:0.34803385, total_loss:0.42306465
final_loss:0.34744802, total_loss:0.4216884
final_loss:0.34218308, total_loss:0.4158566
final_loss:0.3416881, total_loss:0.41466492
final_loss:0.33544287, total_loss:0.40722364
final_loss:0.33622283, total_loss:0.40880808
final_loss:0.328898, total_loss:0.4002394
final_loss:0.32624653, total_loss:0.39645782
final_loss:0.32950127, total_loss:0.40014094
final_loss:0.3258778, total_loss:0.3954188
final_loss:0.32617015, total_loss:0.39529938
