dice:0.06217320867986351, jaccard:0.048002782437883015, accuracy:0.9871902885968372, hd95:nan, asd:nan
dice:0.12567995289298237, jaccard:0.09954910716448799, accuracy:0.9948758149092969, hd95:nan, asd:nan
dice:0.1390137564624217, jaccard:0.11675882177288385, accuracy:0.9949793789353538, hd95:nan, asd:nan
dice:0.11932196697436862, jaccard:0.0964261035124124, accuracy:0.9958399212549608, hd95:nan, asd:nan
dice:0.12816271759452452, jaccard:0.10343645390757825, accuracy:0.9958351760533082, hd95:nan, asd:nan
dice:0.13852047961226424, jaccard:0.11513012723218874, accuracy:0.9963221523728537, hd95:nan, asd:nan
dice:0.16227854832513705, jaccard:0.13488172222914005, accuracy:0.9963473019416105, hd95:nan, asd:nan
dice:0.14370167425263727, jaccard:0.12025591182973057, accuracy:0.9966453401487079, hd95:nan, asd:nan
dice:0.17289134507626588, jaccard:0.14584825733475199, accuracy:0.9965046449197237, hd95:nan, asd:nan
dice:0.14357796204710574, jaccard:0.12215642479474642, accuracy:0.9965488939251301, hd95:nan, asd:nan
dice:0.17413355405167275, jaccard:0.14798639300770064, accuracy:0.9966961533497328, hd95:nan, asd:nan
dice:0.1650071479625457, jaccard:0.13858257638270702, accuracy:0.9965270659975299, hd95:nan, asd:nan
dice:0.16285694045272978, jaccard:0.13767185063765244, accuracy:0.996950733418367, hd95:nan, asd:nan
dice:0.18910406788412082, jaccard:0.16112641908269457, accuracy:0.9969761597905537, hd95:nan, asd:nan
dice:0.1834618547476608, jaccard:0.15797874915333449, accuracy:0.996681205964529, hd95:nan, asd:nan
dice:0.1851930583134355, jaccard:0.15968668307201803, accuracy:0.9969525128689872, hd95:nan, asd:nan
dice:0.18878249843982886, jaccard:0.1628924364724935, accuracy:0.9967447916666671, hd95:nan, asd:nan
dice:0.17277230512288827, jaccard:0.14688239662908237, accuracy:0.9969056540026727, hd95:nan, asd:nan
dice:0.21963151366948377, jaccard:0.19172752977228064, accuracy:0.9971667587235788, hd95:nan, asd:nan
dice:0.20199897374241954, jaccard:0.1737947107791547, accuracy:0.9970553255714493, hd95:nan, asd:nan
dice:0.18972196473592903, jaccard:0.1654069278021795, accuracy:0.9970321136267004, hd95:nan, asd:nan
dice:0.2108147016865701, jaccard:0.18232163181777916, accuracy:0.9973035787045474, hd95:nan, asd:nan
dice:0.20861448200968416, jaccard:0.1789577121608019, accuracy:0.9971270572030896, hd95:nan, asd:nan
dice:0.22677287140862787, jaccard:0.19872778997652868, accuracy:0.9975026794572, hd95:nan, asd:nan
dice:0.22021952366507289, jaccard:0.19421723649851416, accuracy:0.9970283174653789, hd95:nan, asd:nan
dice:0.23238350559534818, jaccard:0.20386389963207557, accuracy:0.9976232075791628, hd95:nan, asd:nan
dice:0.16765314516605812, jaccard:0.14545359025756882, accuracy:0.997272932610545, hd95:nan, asd:nan
dice:0.0, jaccard:0.0, accuracy:0.9964008040902371, hd95:nan, asd:nan
dice:0.0, jaccard:0.0, accuracy:0.9964008040902375, hd95:nan, asd:nan
dice:0.0, jaccard:0.0, accuracy:0.996400804090237, hd95:nan, asd:nan
dice:0.0, jaccard:0.0, accuracy:0.9964008040902373, hd95:nan, asd:nan
dice:0.0, jaccard:0.0, accuracy:0.9964008040902372, hd95:nan, asd:nan
