dice:0.0013096879576359921, jaccard:0.0007071779695871654, accuracy:0.9944739358727125, hd95:nan, asd:nan
dice:0.03102275322620673, jaccard:0.023057910530286423, accuracy:0.9935160378325436, hd95:nan, asd:nan
dice:0.040239464535930775, jaccard:0.028086389904023353, accuracy:0.9930598657803895, hd95:nan, asd:nan
dice:0.06663448396442788, jaccard:0.04976085451767751, accuracy:0.9934887924663914, hd95:nan, asd:nan
dice:0.08933192978800733, jaccard:0.06604515477832196, accuracy:0.9939526359278831, hd95:nan, asd:nan
dice:0.10171771258265996, jaccard:0.08014660313627371, accuracy:0.9930577304396461, hd95:nan, asd:nan
dice:0.10471611987277374, jaccard:0.0853200579158893, accuracy:0.993845987520752, hd95:nan, asd:nan
dice:0.11400830685917868, jaccard:0.09092333014773196, accuracy:0.9936859160516887, hd95:nan, asd:nan
dice:0.11055580262431694, jaccard:0.09255821333979987, accuracy:0.9939875131600259, hd95:nan, asd:nan
dice:0.10924866545682406, jaccard:0.08944082396941096, accuracy:0.993597773931001, hd95:nan, asd:nan
dice:0.13467187833723052, jaccard:0.11567837416295686, accuracy:0.9943503629130223, hd95:nan, asd:nan
dice:0.12190129536200695, jaccard:0.10558081277698278, accuracy:0.9942037361819733, hd95:nan, asd:nan
dice:0.1457728202711501, jaccard:0.12481665229150829, accuracy:0.9948549755653756, hd95:nan, asd:nan
dice:0.14457835015078382, jaccard:0.12504214027844024, accuracy:0.994071186882491, hd95:nan, asd:nan
dice:0.14129523912514003, jaccard:0.12495162641003338, accuracy:0.9947544563770452, hd95:nan, asd:nan
dice:0.14989484493524388, jaccard:0.12987280104814383, accuracy:0.9950049634809282, hd95:nan, asd:nan
dice:0.13643712709202935, jaccard:0.11917477846229234, accuracy:0.9945400128057172, hd95:nan, asd:nan
dice:0.15344222131879645, jaccard:0.1334732665293263, accuracy:0.9949086358873906, hd95:nan, asd:nan
dice:0.1428737452995353, jaccard:0.12414137888532008, accuracy:0.9952892801465824, hd95:nan, asd:nan
dice:0.14927156750853268, jaccard:0.13090638380498507, accuracy:0.995063843524761, hd95:nan, asd:nan
dice:0.16071138971719354, jaccard:0.13948440042238636, accuracy:0.9951740903764777, hd95:nan, asd:nan
dice:0.1577767288767957, jaccard:0.13891215999257997, accuracy:0.9955450465156297, hd95:nan, asd:nan
dice:0.1531036369061106, jaccard:0.13198898353368668, accuracy:0.9951429697623103, hd95:nan, asd:nan
dice:0.15773195996169861, jaccard:0.13859126179770967, accuracy:0.9951760280004858, hd95:nan, asd:nan
dice:0.1584790433301008, jaccard:0.1417833016817953, accuracy:0.9957085977992396, hd95:nan, asd:nan
dice:0.1703618051219501, jaccard:0.15179453759638561, accuracy:0.995960726180353, hd95:nan, asd:nan
