dice:0.015993281188203225, jaccard:0.009748742688319812, accuracy:0.9847336186148575, hd95:nan, asd:nan
dice:0.05595307076266506, jaccard:0.032173147540620554, accuracy:0.9819518232330131, hd95:nan, asd:nan
dice:0.05930881252986378, jaccard:0.03628315853802935, accuracy:0.9822604986004821, hd95:nan, asd:nan
dice:0.1279324342746927, jaccard:0.08727836431462187, accuracy:0.9814100398343867, hd95:nan, asd:nan
dice:0.16067620689617515, jaccard:0.11222456555847632, accuracy:0.982681714333799, hd95:nan, asd:nan
dice:0.14475338963069181, jaccard:0.1032797038302453, accuracy:0.9833281294288551, hd95:nan, asd:nan
dice:0.17090350803361684, jaccard:0.12577754799514929, accuracy:0.9840119920736151, hd95:nan, asd:nan
dice:0.17914388307411838, jaccard:0.13031581797361746, accuracy:0.9838121399973687, hd95:nan, asd:nan
dice:0.19479464970392557, jaccard:0.14572807164315682, accuracy:0.9855993015695862, hd95:nan, asd:nan
dice:0.22374202674503013, jaccard:0.17038345103698638, accuracy:0.9861206410577625, hd95:nan, asd:nan
dice:0.21507511642909058, jaccard:0.16642808248331106, accuracy:0.9861267307332158, hd95:nan, asd:nan
dice:0.212990310503971, jaccard:0.1655705233510888, accuracy:0.9882550723042195, hd95:nan, asd:nan
dice:0.2471769082533337, jaccard:0.19276240251199758, accuracy:0.9883897964877918, hd95:nan, asd:nan
dice:0.23912179445450013, jaccard:0.1836688793084542, accuracy:0.9871668789353539, hd95:nan, asd:nan
dice:0.2544571871910297, jaccard:0.20315518591841894, accuracy:0.9899693159443838, hd95:nan, asd:nan
dice:0.25900502247813667, jaccard:0.2091808093733971, accuracy:0.99062458874919, hd95:nan, asd:nan
dice:0.2358984234870731, jaccard:0.1840382713272683, accuracy:0.9893670312246925, hd95:nan, asd:nan
dice:0.2580079168088766, jaccard:0.20420909171437884, accuracy:0.989975247446449, hd95:nan, asd:nan
dice:0.28642628551744814, jaccard:0.23289333994331607, accuracy:0.9914454295483071, hd95:nan, asd:nan
dice:0.2704072241724727, jaccard:0.21906558112363697, accuracy:0.9917625276487091, hd95:nan, asd:nan
dice:0.26677125109636834, jaccard:0.22110846127572156, accuracy:0.9929555899740847, hd95:nan, asd:nan
dice:0.27341168288720036, jaccard:0.22775009023091156, accuracy:0.9926340630188087, hd95:nan, asd:nan
dice:0.25253679588041084, jaccard:0.2035541165768416, accuracy:0.990502478893344, hd95:nan, asd:nan
dice:0.28083754589207854, jaccard:0.23128842686078427, accuracy:0.9924769177574303, hd95:nan, asd:nan
dice:0.2854895392755429, jaccard:0.23897153323115808, accuracy:0.9926301086840983, hd95:nan, asd:nan
dice:0.30040480754281823, jaccard:0.253176219478177, accuracy:0.9937564613829171, hd95:nan, asd:nan
dice:0.2520667825996325, jaccard:0.20857816444411809, accuracy:0.9902915151365607, hd95:nan, asd:nan
dice:0.19134720363102053, jaccard:0.14607962225167576, accuracy:0.9859818834527857, hd95:nan, asd:nan
dice:0.26699068240112656, jaccard:0.21717575822702767, accuracy:0.9916905983003321, hd95:nan, asd:nan
dice:0.3001347371745374, jaccard:0.251189970869533, accuracy:0.992592067984188, hd95:nan, asd:nan
dice:0.313199298357762, jaccard:0.26520824811452465, accuracy:0.993321524108155, hd95:nan, asd:nan
dice:0.2942093861265093, jaccard:0.24691482581807897, accuracy:0.993568195507369, hd95:nan, asd:nan
dice:0.3068780677788819, jaccard:0.26458818344107066, accuracy:0.9944809350451489, hd95:nan, asd:nan
dice:0.3168402678459349, jaccard:0.27303245465512715, accuracy:0.9948948352592525, hd95:nan, asd:nan
dice:0.31369089748999146, jaccard:0.2647163614797935, accuracy:0.993656772604875, hd95:nan, asd:nan
dice:0.34724997420227893, jaccard:0.30330852044498385, accuracy:0.9951583125809852, hd95:nan, asd:nan
dice:0.33194461530178115, jaccard:0.2846679809992074, accuracy:0.9951030705250857, hd95:nan, asd:nan
dice:0.34657480637885724, jaccard:0.30312696043868004, accuracy:0.9954792068427077, hd95:nan, asd:nan
dice:0.31044965703754573, jaccard:0.2671959035557816, accuracy:0.9947237311963479, hd95:nan, asd:nan
dice:0.3053147173636969, jaccard:0.2558141724034799, accuracy:0.9927913269102294, hd95:nan, asd:nan
dice:0.33919980364124197, jaccard:0.29367686283601474, accuracy:0.9951460541433841, hd95:nan, asd:nan
dice:0.3240968333679147, jaccard:0.2836377166161817, accuracy:0.9949412986920955, hd95:nan, asd:nan
dice:0.3418003610433972, jaccard:0.2920603798217629, accuracy:0.9949521335692019, hd95:nan, asd:nan
dice:0.342072020668848, jaccard:0.29360639365226965, accuracy:0.9946796403643303, hd95:nan, asd:nan
dice:0.2950186795384492, jaccard:0.24702108089516148, accuracy:0.9924813070689587, hd95:nan, asd:nan
dice:0.30672535153063024, jaccard:0.2605290330502647, accuracy:0.9938374461577787, hd95:nan, asd:nan
dice:0.32112280039582203, jaccard:0.27743226962256096, accuracy:0.9943329242969512, hd95:nan, asd:nan
dice:0.2736033555573191, jaccard:0.22475004587751604, accuracy:0.9899364949662907, hd95:nan, asd:nan
dice:0.31512433073909857, jaccard:0.26482500233109857, accuracy:0.9924346459193801, hd95:nan, asd:nan
dice:0.2995393130730512, jaccard:0.2494434548924472, accuracy:0.9918450941574545, hd95:nan, asd:nan
dice:0.33149292584289575, jaccard:0.2822753940293293, accuracy:0.9941843599418936, hd95:nan, asd:nan
dice:0.3226091039444762, jaccard:0.2796933866311785, accuracy:0.9948535915482265, hd95:nan, asd:nan
dice:0.3294276374143472, jaccard:0.285554127699637, accuracy:0.9951785983180471, hd95:nan, asd:nan
dice:0.3439241005967294, jaccard:0.2994199685540864, accuracy:0.9953644915927683, hd95:nan, asd:nan
