final_loss:0.42838278, total_loss:0.558919
final_loss:0.38006943, total_loss:0.4625972
final_loss:0.37171, total_loss:0.4508548
final_loss:0.36394012, total_loss:0.44213217
final_loss:0.35453075, total_loss:0.4317866
final_loss:0.35347673, total_loss:0.42956778
final_loss:0.34720924, total_loss:0.42198974
final_loss:0.3471412, total_loss:0.42080876
final_loss:0.34042656, total_loss:0.4131949
final_loss:0.3394752, total_loss:0.41157097
final_loss:0.33470678, total_loss:0.40618265
final_loss:0.3341555, total_loss:0.40548998
final_loss:0.3256745, total_loss:0.39516348
final_loss:0.32627267, total_loss:0.39577743
final_loss:0.32140127, total_loss:0.39003897
final_loss:0.31969234, total_loss:0.38761842
final_loss:0.3241883, total_loss:0.3925839
final_loss:0.32122284, total_loss:0.3885289
final_loss:0.31107268, total_loss:0.37672463
final_loss:0.31413954, total_loss:0.37945238
final_loss:0.31432787, total_loss:0.38026422
final_loss:0.31130394, total_loss:0.37633952
final_loss:0.31590134, total_loss:0.38150722
final_loss:0.3088091, total_loss:0.37296924
final_loss:0.30707228, total_loss:0.3703502
final_loss:0.3012867, total_loss:0.3637369
final_loss:0.30921838, total_loss:0.3776468
final_loss:0.23881717, total_loss:0.3189744
final_loss:0.22486699, total_loss:0.29743722
final_loss:0.21459338, total_loss:0.28642106
final_loss:0.21393973, total_loss:0.2839314
final_loss:0.21607544, total_loss:0.28777644
final_loss:0.21244124, total_loss:0.2836334
final_loss:0.20989113, total_loss:0.28032735
final_loss:0.21268722, total_loss:0.2833029
final_loss:0.20620707, total_loss:0.27484998
final_loss:0.20998493, total_loss:0.2786446
final_loss:0.20424627, total_loss:0.27213952
final_loss:0.21333022, total_loss:0.28311935
final_loss:0.21575488, total_loss:0.2884663
final_loss:0.20628953, total_loss:0.27651978
final_loss:0.21358052, total_loss:0.28307402
final_loss:0.20941387, total_loss:0.27988577
final_loss:0.20728917, total_loss:0.27769697
final_loss:0.21522987, total_loss:0.28911942
final_loss:0.2126973, total_loss:0.28629896
final_loss:0.21121241, total_loss:0.282695
final_loss:0.2154032, total_loss:0.2933797
final_loss:0.21066657, total_loss:0.28414074
final_loss:0.21652363, total_loss:0.29010475
final_loss:0.2174642, total_loss:0.28783628
final_loss:0.20733462, total_loss:0.27833316
final_loss:0.20629482, total_loss:0.27734944
final_loss:0.19989255, total_loss:0.27080235
final_loss:0.19740862, total_loss:0.2683264
final_loss:0.20599537, total_loss:0.27746046
final_loss:0.19073483, total_loss:0.26320416
final_loss:0.21762425, total_loss:0.29436985
final_loss:0.19600771, total_loss:0.26739302
final_loss:0.19557352, total_loss:0.26780602
final_loss:0.1890909, total_loss:0.26342282
final_loss:0.21826547, total_loss:0.2942587
final_loss:0.21550375, total_loss:0.28713182
final_loss:0.20037885, total_loss:0.27046958
final_loss:0.18725637, total_loss:0.2589325
final_loss:0.18634483, total_loss:0.26072368
final_loss:0.1815531, total_loss:0.25383005
final_loss:0.19462581, total_loss:0.26648578
final_loss:0.18768294, total_loss:0.25887057
final_loss:0.18863589, total_loss:0.25835234
final_loss:0.17826736, total_loss:0.2486333
final_loss:0.17495726, total_loss:0.24713306
final_loss:0.17182028, total_loss:0.24308826
final_loss:0.21046554, total_loss:0.28929576
final_loss:0.19552061, total_loss:0.26812732
final_loss:0.19551846, total_loss:0.2702489
final_loss:0.17198206, total_loss:0.24460532
final_loss:0.1622352, total_loss:0.23567273
final_loss:0.17347012, total_loss:0.24720117
final_loss:0.1527642, total_loss:0.22616506
final_loss:0.19586006, total_loss:0.2720187
final_loss:0.17750062, total_loss:0.24942146
final_loss:0.17179245, total_loss:0.24441867
final_loss:0.15377803, total_loss:0.22740497
final_loss:0.15038182, total_loss:0.22297174
final_loss:0.14402716, total_loss:0.21623923
final_loss:0.14651605, total_loss:0.22002897
final_loss:0.14771664, total_loss:0.220642
final_loss:0.15482391, total_loss:0.22792898
final_loss:0.1472413, total_loss:0.21919045
final_loss:0.14874454, total_loss:0.22141814
final_loss:0.14639056, total_loss:0.21917544
final_loss:0.14078258, total_loss:0.21301894
final_loss:0.14031558, total_loss:0.21183357
final_loss:0.13461274, total_loss:0.20740885
final_loss:0.12968798, total_loss:0.20199159
final_loss:0.12814152, total_loss:0.19995284
final_loss:0.12559244, total_loss:0.19775283
final_loss:0.12564726, total_loss:0.19804198
final_loss:0.12702484, total_loss:0.19997796
